2016-05-18 04:05:51.232 | QA02A0101 |  | 8 | INFO | ITC.External.ExternalServiceForRamQuestData.ExternalServiceForRamQuestRepository | NLog.LoggerImpl.Write | Class Created: ExternalServiceForRamQuestRepository |  |  |  |  |
2016-05-18 04:05:51.232 | QA02A0101 |  | 8 | INFO | ITC.External.ExternalServiceForRamQuestBusiness.Logic.PingsLogic | NLog.LoggerImpl.Write | Class Created: PingLogic |  |  |  |  |
2016-05-18 04:06:10.624 | QA02A0101 | /LM/W3SVC/4/ROOT-1-131079463493145987 | 10 | INFO | ITC.Common.Services.ServiceBroker.Broker | NLog.LoggerImpl.Write | Class Created: Broker with connectionString=data source=ExternalDB;initial catalog=External;integrated security=True; |  |  |  |  |
2016-05-18 04:06:23.760 | QA02A0101 | /LM/W3SVC/4/ROOT-1-131079463493145987 | 8 | INFO | ITC.Common.Services.ServiceBroker.Broker | NLog.LoggerImpl.Write | Class Created: Broker with connectionString=data source=ExternalDB;initial catalog=External;integrated security=True; |  |  |  |  |
2016-05-18 04:06:25.648 | QA02A0101 | /LM/W3SVC/4/ROOT-1-131079463493145987 | 13 | INFO | ITC.Common.Services.ServiceBroker.Broker | NLog.LoggerImpl.Write | Class Created: Broker with connectionString=data source=ExternalDB;initial catalog=External;integrated security=True; |  |  |  |  |
2016-05-18 04:06:46.070 | QA02A0101 | /LM/W3SVC/4/ROOT-1-131079463493145987 | 13 | INFO | ITC.Common.Services.ServiceBroker.Broker | NLog.LoggerImpl.Write | Class Created: Broker with connectionString=data source=ExternalDB;initial catalog=External;integrated security=True; |  |  |  |  |
2016-05-18 04:06:46.819 | QA02A0101 |  | 10 | INFO | ITC.External.ExternalServiceForRamQuestData.ExternalServiceForRamQuestRepository | NLog.LoggerImpl.Write | Class Created: ExternalServiceForRamQuestRepository |  |  |  |  |
2016-05-18 04:06:46.819 | QA02A0101 |  | 10 | INFO | ITC.External.ExternalServiceForRamQuestBusiness.Logic.PingsLogic | NLog.LoggerImpl.Write | Class Created: PingLogic |  |  |  |  |
2016-05-18 04:06:51.249 | QA02A0101 |  | 9 | INFO | ITC.External.ExternalServiceForRamQuestData.ExternalServiceForRamQuestRepository | NLog.LoggerImpl.Write | Class Created: ExternalServiceForRamQuestRepository |  |  |  |  |
2016-05-18 04:06:51.249 | QA02A0101 |  | 9 | INFO | ITC.External.ExternalServiceForRamQuestBusiness.Logic.PingsLogic | NLog.LoggerImpl.Write | Class Created: PingLogic |  |  |  |  |
